"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PIWIL2",-1.73963676,7.84036867,-8.84319219094799,2.25163029705619e-08,0.000302752155306441,9.18542735927729
"CEP192P1",-3.704878,5.6211984,-8.73823079937454,2.73106450143377e-08,0.000302752155306441,9.01365680749555
"ZNF57",-1.40231645,9.983642525,-8.08178923955731,9.43355023775264e-08,0.000633217688716424,7.90112121772384
"SULT1B1",-2.75485391,8.358543445,-7.95349834431181,1.20992480208032e-07,0.000633217688716424,7.67588651639295
"CPB1",-3.56717664,5.29817617,-7.86868176426534,1.42803141201665e-07,0.000633217688716424,7.52556245601125
"CDH3",3.2272292,7.3613838,7.77457597416579,1.71826049540459e-07,0.000634925890726918,7.35745347726635
"ADH7",-4.26821116,6.93233949,-7.50216337229234,2.95525274084035e-07,0.000820543982206038,6.86297099447251
"CYB5A",-1.31956915,12.715970275,-7.48443510122732,3.06246602881891e-07,0.000820543982206038,6.83038608692292
"COL10A1",4.46264015,7.977664155,7.39181782185699,3.6916834054428e-07,0.000820543982206038,6.65935022776326
"GRAMD1C",-1.168563,9.597474,-7.39057530230814,3.70097867577483e-07,0.000820543982206038,6.65704650815399
"RAB31",1.5137357,11.23753685,7.25425706158014,4.88297461127032e-07,0.000903385009429441,6.40283098689781
"PBLD",-2.66117435,11.848575425,-7.24232737989512,5.00345516467087e-07,0.000903385009429441,6.38044504621276
"INHBA",4.56247851,9.598956575,7.16440970513831,5.86966393492528e-07,0.000903385009429441,6.23368546752844
"MTHFD1L",1.86438345,9.806783625,7.15067149078879,6.03776799692699e-07,0.000903385009429441,6.20771083922248
"KCNJ16",-6.345145463,7.3104603685,-7.14473509312429,6.11193682803736e-07,0.000903385009429441,6.19647786662736
"MT1G",-2.62642775,12.404590025,-7.03474892625628,7.66992872273017e-07,0.00106281243569782,5.98736621477265
"SILC1",-3.30045103,6.700904805,-6.9097194271048,9.94825449874173e-07,0.00122470917929537,5.74737221629026
"CBR1",-1.36327305,10.544168225,-6.87747316971685,1.06420757182599e-06,0.00122470917929537,5.68508377149221
"GHRL",-4.66587028,8.75423259,-6.85924048210392,1.10562585707603e-06,0.00122470917929537,5.64979378685143
"GATA6-AS1",-3.51634653,10.153013535,-6.82289024124356,1.19323097434162e-06,0.00122470917929537,5.57928426987827
"MT1H",-2.22234495,12.773008525,-6.82159209711748,1.19648865290936e-06,0.00122470917929537,5.57676247691718
"PEX11A",-1.12627018,8.85778736,-6.81051686416714,1.22465709389048e-06,0.00122470917929537,5.55523707592983
"ARL13B",1.0221045,9.01401255,6.79304069967718,1.27050250885361e-06,0.00122470917929537,5.52123287221686
"MT1M",-4.92014241,9.415256145,-6.68812779855568,1.58548476383356e-06,0.00142917796452509,5.31611953377258
"HAPLN1",-2.32913844,6.86544605,-6.66478563239332,1.66589853758794e-06,0.00142917796452509,5.27025632186416
"NTM",2.55671014,8.80423848,6.6619353389252,1.67600140172533e-06,0.00142917796452509,5.26465035465995
"LNX1",-1.72255885,10.297365675,-6.63008841022027,1.79326667536914e-06,0.00147253760961515,5.20193028748974
"ABCA5",-1.03144625,10.709097525,-6.58516297054663,1.97321836835866e-06,0.00150978698401624,5.11319345215242
"COL6A3",2.05858325,13.062687775,6.5696928001418,2.03940150323776e-06,0.00150978698401624,5.08256662854718
"AZGP1",-2.91414968,8.36603586,-6.56888456459952,2.04292136216171e-06,0.00150978698401624,5.08096555213726
"SIMC1",-0.867277899999999,10.11330555,-6.53997845126151,2.17300393842766e-06,0.00154960914927571,5.02363971713148
"TRIM50",-5.44443522,6.26352941,-6.51539159292175,2.29034388814769e-06,0.00154960914927571,4.97478163222006
"SPTSSA",1.0749425,10.996294,6.51211098100281,2.3064860369897e-06,0.00154960914927571,4.96825572079115
"SIDT2",-1.6002613,12.54255515,-6.47436777284871,2.50084070518609e-06,0.00156232573991169,4.89306068061992
